Agent_ID,Product_Category,Commission_Percentage
Agent_2032043,Auto & Accessories,10.79
Agent_2089502,Fashion,48.54
Agent_99959,Home & Furniture,80.12
Agent_373421,Home & Furniture,76.29
Agent_2378931,Electronics,56.13
Agent_185344,Auto & Accessories,33.42
Agent_1637420,Auto & Accessories,16.81
Agent_2193459,Home & Furniture,85.46
Agent_414428,Fashion,59.64
Agent_2216628,Auto & Accessories,72.49
Agent_2214930,Electronics,58.28
Agent_2119244,Fashion,31.19
Agent_865366,Home & Furniture,95.34
Agent_1639181,Home & Furniture,16.63
Agent_1831277,Fashion,6.51
Agent_2203934,Electronics,18.54
Agent_2257768,Home & Furniture,82.03
Agent_577808,Fashion,6.80
Agent_2241803,Electronics,52.81
Agent_1027390,Home & Furniture,16.64
Agent_1177944,Fashion,67.23
Agent_2362856,Fashion,39.48
Agent_640916,Home & Furniture,19.46
Agent_1547805,Electronics,35.31
Agent_332887,Electronics,58.23
Agent_1548566,Auto & Accessories,59.30
Agent_1402059,Home & Furniture,72.24
Agent_1041397,Home & Furniture,23.82
Agent_157347,Fashion,96.67
Agent_585354,Auto & Accessories,30.04
Agent_839390,Home & Furniture,31.30
Agent_2276542,Fashion,98.54
Agent_1617099,Fashion,39.62
Agent_341201,Home & Furniture,29.59
Agent_281391,Electronics,78.66
Agent_1046876,Home & Furniture,90.90
Agent_689549,Electronics,45.25
Agent_997948,Electronics,19.11
Agent_1415195,Home & Furniture,86.80
Agent_2073867,Auto & Accessories,10.39
Agent_1000359,Electronics,85.16
Agent_2137392,Electronics,64.96
Agent_1622028,Electronics,63.80
Agent_443617,Electronics,17.93
Agent_2316155,Fashion,12.78
Agent_627102,Electronics,3.21
Agent_536946,Home & Furniture,3.01
Agent_186612,Electronics,78.18
Agent_1645317,Home & Furniture,71.89
Agent_1196778,Electronics,57.45
Agent_643646,Electronics,67.69
Agent_2027077,Fashion,55.95
Agent_1461316,Home & Furniture,15.80
Agent_32424,Home & Furniture,76.31
Agent_227149,Auto & Accessories,81.66
Agent_1041732,Fashion,89.35
Agent_554866,Auto & Accessories,90.95
Agent_1007258,Auto & Accessories,59.52
Agent_1568389,Home & Furniture,70.64
Agent_860371,Fashion,84.59
Agent_1065320,Auto & Accessories,29.78
Agent_1673262,Home & Furniture,15.87
Agent_2100216,Auto & Accessories,81.21
Agent_308106,Home & Furniture,21.79
Agent_1156357,Home & Furniture,94.54
Agent_1278062,Home & Furniture,42.51
Agent_327778,Home & Furniture,17.47
Agent_2354823,Fashion,23.15
Agent_2008285,Auto & Accessories,96.78
Agent_352282,Electronics,88.43
Agent_156460,Auto & Accessories,6.21
Agent_489977,Auto & Accessories,8.72
Agent_1806376,Fashion,42.08
Agent_1576929,Auto & Accessories,34.27
Agent_64758,Auto & Accessories,95.79
Agent_789897,Auto & Accessories,89.96
Agent_130945,Fashion,22.70
Agent_169725,Home & Furniture,25.05
Agent_566484,Home & Furniture,30.47
Agent_1757717,Home & Furniture,82.87
Agent_2234405,Electronics,91.49
Agent_2341744,Home & Furniture,56.45
Agent_2283603,Home & Furniture,41.97
Agent_943941,Auto & Accessories,62.95
Agent_2254798,Fashion,38.28
Agent_740228,Home & Furniture,31.35
Agent_1636426,Auto & Accessories,48.84
Agent_481413,Home & Furniture,60.61
Agent_1785317,Home & Furniture,31.96
Agent_1596097,Fashion,47.75
Agent_1183095,Home & Furniture,73.23
Agent_1476160,Home & Furniture,45.59
Agent_848165,Electronics,15.44
Agent_847275,Auto & Accessories,38.00
Agent_222581,Auto & Accessories,64.94
Agent_1172259,Home & Furniture,38.28
Agent_479378,Electronics,86.50
Agent_1343379,Auto & Accessories,94.15
Agent_2299230,Electronics,88.03
Agent_1835881,Electronics,89.25
Agent_765086,Home & Furniture,95.17
Agent_1091125,Fashion,50.26
Agent_2389929,Fashion,83.70
Agent_2292915,Home & Furniture,75.37
Agent_1475177,Electronics,40.73
Agent_1622853,Auto & Accessories,40.37
Agent_1327838,Electronics,3.78
Agent_2364335,Auto & Accessories,55.60
Agent_1873838,Electronics,8.28
Agent_1401317,Auto & Accessories,28.50
Agent_939207,Auto & Accessories,21.82
Agent_1753254,Fashion,85.96
Agent_415829,Electronics,12.48
Agent_250677,Home & Furniture,79.62
Agent_375780,Fashion,54.47
Agent_945015,Fashion,72.11
Agent_1786338,Electronics,53.03
Agent_1375865,Electronics,89.20
Agent_1091349,Fashion,22.03
Agent_1111772,Fashion,99.27
Agent_1149748,Auto & Accessories,85.43
Agent_326565,Home & Furniture,57.85
Agent_810380,Fashion,86.74
Agent_2216301,Auto & Accessories,35.42
Agent_2347401,Home & Furniture,71.79
Agent_1119293,Fashion,61.61
Agent_579700,Home & Furniture,69.36
Agent_655650,Auto & Accessories,35.62
Agent_1186375,Fashion,1.68
Agent_1744123,Electronics,41.71
Agent_755186,Electronics,41.28
Agent_2390312,Fashion,86.88
Agent_1195338,Fashion,92.89
Agent_2348085,Home & Furniture,23.19
Agent_28238,Auto & Accessories,88.13
Agent_516553,Auto & Accessories,78.23
Agent_619347,Electronics,98.28
Agent_377112,Auto & Accessories,38.91
Agent_1436892,Home & Furniture,6.99
Agent_337653,Electronics,68.14
Agent_1292500,Electronics,57.59
Agent_87216,Home & Furniture,44.96
Agent_520844,Auto & Accessories,69.49
Agent_2315931,Electronics,54.49
Agent_1969011,Auto & Accessories,79.87
Agent_629651,Home & Furniture,22.23
Agent_1149658,Electronics,50.03
Agent_1187838,Fashion,59.95
Agent_1567215,Home & Furniture,57.98
Agent_119257,Fashion,5.68
Agent_1098895,Fashion,48.36
Agent_720039,Fashion,52.63
Agent_1956564,Home & Furniture,83.25
Agent_958823,Auto & Accessories,83.97
Agent_1943072,Fashion,45.51
Agent_2299976,Home & Furniture,70.09
Agent_370294,Home & Furniture,92.01
Agent_277248,Electronics,38.18
Agent_1085798,Home & Furniture,79.43
Agent_2187890,Auto & Accessories,47.41
Agent_773107,Electronics,33.31
Agent_1015823,Fashion,79.53
Agent_2244067,Electronics,4.07
Agent_2067239,Auto & Accessories,69.35
Agent_2162256,Home & Furniture,37.60
Agent_2284047,Electronics,21.78
Agent_572501,Fashion,84.15
Agent_1657932,Electronics,63.71
Agent_921561,Home & Furniture,64.95
Agent_1714269,Electronics,79.86
Agent_639183,Electronics,53.81
Agent_2114216,Home & Furniture,25.08
Agent_1131726,Electronics,28.23
Agent_2049214,Fashion,91.56
Agent_1899133,Auto & Accessories,8.98
Agent_443288,Auto & Accessories,81.68
Agent_2331737,Auto & Accessories,64.83
Agent_2066371,Auto & Accessories,98.55
Agent_1642967,Home & Furniture,30.22
Agent_638216,Home & Furniture,87.59
Agent_1723562,Electronics,19.15
Agent_1299589,Home & Furniture,4.36
Agent_3070,Electronics,42.91
Agent_1058814,Electronics,89.11
Agent_1955896,Fashion,82.37
Agent_294724,Home & Furniture,9.37
Agent_676861,Auto & Accessories,39.24
Agent_1519283,Auto & Accessories,75.55
Agent_2063283,Fashion,14.91
Agent_1525517,Fashion,63.37
Agent_832707,Auto & Accessories,25.34
Agent_22406,Fashion,29.47
Agent_1419004,Home & Furniture,32.00
Agent_2399821,Fashion,44.47
Agent_587415,Electronics,49.71
Agent_1655176,Fashion,14.80
Agent_1046039,Home & Furniture,63.48
Agent_681383,Auto & Accessories,33.97
Agent_1329627,Fashion,81.28
Agent_173371,Fashion,4.53
Agent_2109102,Electronics,84.31
Agent_1762815,Electronics,81.71
Agent_1626204,Home & Furniture,14.25
Agent_427469,Electronics,21.80
Agent_969526,Electronics,6.31
Agent_1857014,Electronics,63.74
Agent_1528210,Electronics,52.56
Agent_201647,Electronics,35.95
Agent_666432,Electronics,87.83
Agent_1555348,Electronics,18.04
Agent_629521,Fashion,28.25
Agent_475749,Auto & Accessories,71.16
Agent_1110283,Fashion,92.13
Agent_539497,Home & Furniture,36.76
Agent_62392,Auto & Accessories,25.74
Agent_521915,Auto & Accessories,59.38
Agent_1163846,Home & Furniture,92.43
Agent_1920175,Electronics,84.24
Agent_1678246,Auto & Accessories,76.07
Agent_1669754,Fashion,43.33
Agent_2226139,Electronics,2.11
Agent_1030870,Home & Furniture,90.50
Agent_1727213,Auto & Accessories,38.58
Agent_317604,Electronics,24.58
Agent_1752173,Auto & Accessories,4.18
Agent_1677023,Home & Furniture,21.06
Agent_1377598,Electronics,39.04
Agent_495524,Electronics,85.36
Agent_2268381,Fashion,96.28
Agent_1200200,Home & Furniture,12.86
Agent_1798481,Electronics,64.03
Agent_2081428,Home & Furniture,10.32
Agent_152667,Auto & Accessories,28.11
Agent_1921422,Electronics,68.12
Agent_2115237,Fashion,85.00
Agent_719264,Fashion,48.19
Agent_1917633,Home & Furniture,23.89
Agent_1102410,Fashion,8.73
Agent_2381927,Home & Furniture,97.82
Agent_429673,Fashion,61.35
Agent_1790957,Auto & Accessories,6.54
Agent_485578,Home & Furniture,20.64
Agent_291414,Home & Furniture,83.00
Agent_1805397,Auto & Accessories,42.47
Agent_1306267,Auto & Accessories,99.44
Agent_1899755,Home & Furniture,19.04
Agent_259590,Home & Furniture,54.49
Agent_184309,Home & Furniture,46.50
Agent_1261288,Home & Furniture,13.61
Agent_816226,Home & Furniture,80.59
Agent_2284844,Fashion,50.02
Agent_240285,Home & Furniture,30.73
Agent_2090268,Home & Furniture,42.33
Agent_434346,Home & Furniture,49.66
Agent_2163006,Fashion,26.57
Agent_1252753,Home & Furniture,12.13
Agent_1679811,Fashion,80.51
Agent_2064751,Electronics,36.28
Agent_1110675,Auto & Accessories,22.27
Agent_1829935,Home & Furniture,36.19
Agent_1505367,Home & Furniture,71.79
Agent_1441433,Fashion,90.94
Agent_971360,Home & Furniture,74.11
Agent_594938,Auto & Accessories,74.70
Agent_1167166,Fashion,65.98
Agent_1642033,Home & Furniture,9.75
Agent_1449958,Home & Furniture,54.28
Agent_1896973,Electronics,36.31
Agent_1703518,Electronics,29.83
Agent_1271081,Electronics,35.41
Agent_1872763,Auto & Accessories,29.92
Agent_962325,Fashion,13.72
Agent_1080484,Fashion,64.87
Agent_1678896,Auto & Accessories,17.97
Agent_723193,Home & Furniture,60.66
Agent_2038737,Fashion,20.83
Agent_700409,Fashion,17.10
Agent_436765,Electronics,10.84
Agent_66112,Electronics,70.15
Agent_2038568,Fashion,94.83
Agent_1438458,Fashion,3.17
Agent_1106044,Auto & Accessories,7.77
Agent_732287,Home & Furniture,11.85
Agent_1628194,Home & Furniture,76.84
Agent_1478381,Auto & Accessories,12.95
Agent_1493832,Fashion,5.89
Agent_120416,Fashion,6.12
Agent_1108144,Home & Furniture,79.84
Agent_1265164,Auto & Accessories,39.62
Agent_2348617,Auto & Accessories,34.92
Agent_1620793,Fashion,6.04
Agent_1390351,Fashion,63.15
Agent_278068,Auto & Accessories,20.43
Agent_1539366,Auto & Accessories,83.65
Agent_1575902,Electronics,46.65
Agent_2289270,Electronics,55.36
Agent_1771057,Home & Furniture,31.67
Agent_749343,Auto & Accessories,35.91
Agent_148987,Auto & Accessories,33.47
Agent_2293016,Electronics,81.13
Agent_854482,Auto & Accessories,79.30
Agent_2275959,Auto & Accessories,69.72
Agent_248170,Fashion,69.35
Agent_112640,Auto & Accessories,6.62
Agent_696918,Home & Furniture,44.15
Agent_1469440,Electronics,21.17
Agent_796176,Home & Furniture,29.51
Agent_725992,Fashion,17.12
Agent_253307,Auto & Accessories,42.33
Agent_1757250,Fashion,25.54
Agent_1793195,Fashion,77.38
Agent_847027,Fashion,75.19
Agent_1643222,Auto & Accessories,99.38
Agent_302775,Auto & Accessories,92.82
Agent_1270335,Fashion,95.91
Agent_368444,Home & Furniture,14.52
Agent_1931205,Fashion,6.72
Agent_1956285,Fashion,6.75
Agent_1344643,Fashion,97.93
Agent_1949265,Auto & Accessories,78.21
Agent_625112,Electronics,57.15
Agent_1632242,Auto & Accessories,88.44
Agent_2323903,Home & Furniture,26.17
Agent_2195165,Electronics,89.81
Agent_534547,Electronics,36.74
Agent_1924057,Auto & Accessories,66.29
Agent_1024487,Fashion,27.28
Agent_949026,Fashion,56.63
Agent_2029380,Fashion,21.26
Agent_1334992,Home & Furniture,62.36
Agent_946576,Home & Furniture,99.53
Agent_762848,Home & Furniture,73.07
Agent_1514339,Fashion,21.79
Agent_2011679,Home & Furniture,25.49
Agent_1496088,Fashion,99.79
Agent_1288779,Fashion,16.38
Agent_1432739,Home & Furniture,97.14
Agent_2364926,Auto & Accessories,37.91
Agent_612022,Home & Furniture,93.71
Agent_431992,Auto & Accessories,93.50
Agent_2192014,Electronics,4.31
Agent_533740,Electronics,27.12
Agent_1291254,Fashion,86.60
Agent_545721,Fashion,11.42
Agent_2009546,Auto & Accessories,98.44
Agent_1461999,Fashion,67.81
Agent_2356259,Home & Furniture,82.62
Agent_856981,Auto & Accessories,24.17
Agent_2171396,Auto & Accessories,7.77
Agent_1812824,Electronics,2.03
Agent_699331,Electronics,62.00
Agent_151958,Auto & Accessories,74.79
Agent_1556019,Home & Furniture,63.26
Agent_2338201,Fashion,17.32
Agent_2379466,Auto & Accessories,61.84
Agent_2360342,Home & Furniture,30.11
Agent_1187495,Auto & Accessories,39.35
Agent_243136,Electronics,52.13
Agent_1477986,Home & Furniture,42.96
Agent_531383,Home & Furniture,6.25
Agent_1464025,Auto & Accessories,19.23
Agent_2391877,Home & Furniture,58.51
Agent_1452827,Electronics,2.26
Agent_297585,Home & Furniture,26.81
Agent_319360,Auto & Accessories,78.20
Agent_1918535,Auto & Accessories,75.37
Agent_1426514,Home & Furniture,26.78
Agent_1531086,Fashion,57.49
Agent_272775,Fashion,5.52
Agent_2094514,Auto & Accessories,9.09
Agent_1669611,Fashion,13.78
Agent_627287,Auto & Accessories,44.34
Agent_1267888,Home & Furniture,72.79
Agent_409842,Home & Furniture,9.49
Agent_2042808,Electronics,12.25
Agent_1794336,Electronics,82.86
Agent_1978557,Home & Furniture,21.97
Agent_1108229,Home & Furniture,98.82
Agent_254492,Auto & Accessories,71.58
Agent_801428,Auto & Accessories,93.64
Agent_462912,Fashion,99.24
Agent_908027,Fashion,39.16
Agent_1800758,Home & Furniture,34.27
Agent_1550510,Fashion,13.10
Agent_2144043,Electronics,94.06
Agent_1221796,Electronics,46.59
Agent_1326480,Electronics,39.16
Agent_431346,Home & Furniture,58.62
Agent_294706,Home & Furniture,4.41
Agent_2135626,Fashion,48.84
Agent_979318,Fashion,75.34
Agent_2191332,Auto & Accessories,61.28
Agent_1089664,Electronics,30.09
Agent_2174655,Electronics,47.27
Agent_461733,Auto & Accessories,98.76
Agent_1188417,Electronics,11.87
Agent_2368235,Auto & Accessories,71.94
Agent_1587781,Auto & Accessories,90.68
Agent_1210200,Auto & Accessories,9.96
Agent_2395984,Home & Furniture,40.58
Agent_1377730,Home & Furniture,92.03
Agent_1651760,Auto & Accessories,23.14
Agent_1326562,Home & Furniture,58.33
Agent_883528,Auto & Accessories,11.04
Agent_684259,Electronics,46.46
Agent_2141763,Fashion,83.18
Agent_1021427,Home & Furniture,92.32
Agent_966095,Auto & Accessories,31.75
Agent_1327751,Electronics,56.04
Agent_1456139,Fashion,24.56
Agent_917240,Auto & Accessories,40.20
Agent_2296728,Electronics,62.12
Agent_1395428,Auto & Accessories,82.31
Agent_1648123,Fashion,23.54
Agent_603599,Auto & Accessories,48.05
Agent_1998155,Auto & Accessories,91.57
Agent_1953894,Fashion,12.66
Agent_708715,Auto & Accessories,9.94
Agent_1916931,Auto & Accessories,63.77
Agent_2185334,Auto & Accessories,82.61
Agent_1378794,Home & Furniture,94.56
Agent_2115580,Home & Furniture,89.90
Agent_2027686,Auto & Accessories,34.65
Agent_1722477,Fashion,98.75
Agent_423507,Electronics,26.36
Agent_2116733,Auto & Accessories,99.96
Agent_1708112,Auto & Accessories,22.02
Agent_720422,Auto & Accessories,69.75
Agent_1080516,Electronics,10.51
Agent_756529,Fashion,58.40
Agent_1407129,Fashion,32.30
Agent_494548,Home & Furniture,53.58
Agent_1609219,Fashion,37.24
Agent_1549508,Home & Furniture,31.48
Agent_1659311,Electronics,63.31
Agent_1853252,Home & Furniture,59.99
Agent_1982049,Home & Furniture,12.88
Agent_356047,Auto & Accessories,65.67
Agent_1140625,Electronics,6.67
Agent_753663,Home & Furniture,3.66
Agent_1632718,Fashion,22.10
Agent_441075,Auto & Accessories,54.32
Agent_1093238,Home & Furniture,23.60
Agent_1325160,Electronics,80.90
Agent_2341170,Fashion,99.60
Agent_1311792,Home & Furniture,86.44
Agent_2071092,Fashion,23.80
Agent_2373334,Home & Furniture,78.61
Agent_2191170,Auto & Accessories,14.93
Agent_2180641,Home & Furniture,44.68
Agent_1936016,Fashion,66.97
Agent_1975935,Fashion,99.89
Agent_1912344,Electronics,42.08
Agent_1784183,Fashion,36.11
Agent_1540755,Electronics,48.52
Agent_448331,Electronics,13.46
Agent_954669,Electronics,14.31
Agent_779134,Fashion,67.95
Agent_1134957,Fashion,48.35
Agent_66673,Auto & Accessories,6.07
Agent_166561,Home & Furniture,47.02
Agent_214467,Home & Furniture,29.87
Agent_2323136,Auto & Accessories,44.09
Agent_2189714,Fashion,47.19
Agent_1904138,Auto & Accessories,3.80
Agent_1589901,Fashion,65.49
Agent_2012767,Auto & Accessories,15.16
Agent_1596849,Electronics,8.44
Agent_1156759,Fashion,33.77
Agent_572622,Fashion,47.77
Agent_612976,Home & Furniture,76.58
Agent_2671,Auto & Accessories,59.58
Agent_1639651,Home & Furniture,33.94
Agent_1945649,Electronics,19.51
Agent_411956,Auto & Accessories,4.20
Agent_66029,Electronics,93.94
Agent_995319,Auto & Accessories,90.30
Agent_467748,Auto & Accessories,19.53
Agent_1836376,Fashion,10.16
Agent_481725,Electronics,27.92
Agent_930247,Auto & Accessories,84.20
Agent_1645282,Home & Furniture,52.40
Agent_1277823,Electronics,6.87
Agent_1170576,Fashion,16.79
Agent_1044359,Home & Furniture,13.65
Agent_2132973,Fashion,1.67
Agent_17314,Electronics,97.81
Agent_128971,Home & Furniture,4.71
Agent_1184190,Auto & Accessories,85.47
Agent_893042,Home & Furniture,55.00
Agent_295111,Electronics,97.52
Agent_1175136,Fashion,28.68
Agent_311646,Electronics,53.40
Agent_920736,Fashion,31.85
Agent_7050,Auto & Accessories,40.11
Agent_1585567,Home & Furniture,51.67
Agent_2393121,Fashion,94.58
Agent_139517,Auto & Accessories,61.16
Agent_1116292,Home & Furniture,99.77
Agent_1360210,Auto & Accessories,16.46
Agent_1911850,Home & Furniture,62.29
Agent_1577702,Electronics,82.95
Agent_645520,Electronics,70.94
Agent_2129804,Auto & Accessories,12.43
Agent_1586627,Fashion,90.46
Agent_1547719,Electronics,41.89
Agent_1373103,Auto & Accessories,65.37
Agent_1331604,Home & Furniture,93.76
Agent_1806485,Auto & Accessories,19.73
Agent_2372406,Electronics,3.68
Agent_355141,Fashion,23.00
Agent_1412895,Electronics,55.06
Agent_708635,Home & Furniture,92.63
Agent_711286,Fashion,31.44
Agent_2377811,Fashion,15.95
Agent_277013,Electronics,96.87
Agent_848690,Fashion,2.34
Agent_1912934,Fashion,21.83
Agent_710526,Home & Furniture,1.20
Agent_888789,Fashion,60.90
Agent_408731,Auto & Accessories,77.26
Agent_1993583,Auto & Accessories,38.19
Agent_1332012,Auto & Accessories,91.65
Agent_488132,Electronics,79.27
Agent_75665,Electronics,51.81
Agent_931809,Auto & Accessories,65.81
Agent_1518450,Home & Furniture,88.11
Agent_871473,Fashion,8.30
Agent_211494,Home & Furniture,59.30
Agent_2233204,Electronics,98.20
Agent_1092009,Electronics,74.62
Agent_2032925,Fashion,61.56
Agent_1843406,Home & Furniture,70.24
Agent_2007093,Auto & Accessories,99.48
Agent_1289015,Auto & Accessories,19.88
Agent_928648,Fashion,69.41
Agent_203770,Home & Furniture,12.34
Agent_1109416,Fashion,26.79
Agent_2123762,Electronics,68.90
Agent_1334011,Fashion,5.84
Agent_2169468,Fashion,89.88
Agent_356566,Auto & Accessories,22.51
Agent_342364,Fashion,82.72
Agent_394367,Home & Furniture,60.72
Agent_809724,Home & Furniture,99.80
Agent_2151370,Auto & Accessories,41.96
Agent_1199641,Fashion,77.62
Agent_861106,Auto & Accessories,69.43
Agent_1453915,Auto & Accessories,75.79
Agent_2031090,Fashion,63.02
Agent_398413,Fashion,78.57
Agent_2273642,Fashion,24.91
Agent_355387,Home & Furniture,93.95
Agent_1783033,Electronics,23.52
Agent_1957613,Auto & Accessories,90.68
Agent_2080377,Electronics,78.89
Agent_412195,Fashion,29.72
Agent_1561308,Electronics,50.15
Agent_750338,Auto & Accessories,29.78
Agent_1179052,Auto & Accessories,34.15
Agent_917524,Electronics,31.19
Agent_1303132,Auto & Accessories,90.80
Agent_143911,Auto & Accessories,95.49
Agent_1668628,Auto & Accessories,80.92
Agent_659270,Fashion,3.65
Agent_1511554,Fashion,70.83
Agent_1324242,Auto & Accessories,85.77
Agent_1467243,Fashion,75.14
Agent_123811,Home & Furniture,62.11
Agent_385252,Fashion,54.91
Agent_2264839,Fashion,32.64
Agent_425298,Home & Furniture,91.58
Agent_448671,Fashion,19.94
Agent_839202,Home & Furniture,75.12
Agent_1837869,Electronics,85.18
Agent_2346478,Auto & Accessories,79.03
Agent_281443,Auto & Accessories,27.48
Agent_419395,Home & Furniture,2.96
Agent_1692437,Home & Furniture,70.92
Agent_646769,Electronics,54.27
Agent_1557515,Home & Furniture,16.48
Agent_584274,Home & Furniture,10.23
Agent_2212054,Electronics,52.04
Agent_1640963,Home & Furniture,8.12
Agent_362051,Auto & Accessories,21.07
Agent_1346775,Fashion,83.76
Agent_518050,Home & Furniture,12.49
Agent_1196619,Electronics,41.32
Agent_2145770,Fashion,30.84
Agent_1737819,Electronics,66.14
Agent_660118,Fashion,21.71
Agent_311532,Fashion,72.63
Agent_757524,Home & Furniture,28.60
Agent_2198708,Electronics,69.66
Agent_2181808,Electronics,91.57
Agent_1776318,Home & Furniture,76.46
Agent_930092,Fashion,65.24
Agent_1679801,Home & Furniture,18.26
Agent_908983,Electronics,23.12
Agent_304822,Fashion,11.44
Agent_1376368,Home & Furniture,54.55
Agent_756378,Electronics,39.72
Agent_946159,Fashion,89.20
Agent_6817,Home & Furniture,22.02
Agent_345853,Fashion,32.45
Agent_140312,Auto & Accessories,66.63
Agent_1994860,Electronics,61.60
Agent_1057729,Electronics,25.58
Agent_968398,Home & Furniture,20.11
Agent_847517,Auto & Accessories,7.24
Agent_2046949,Fashion,38.47
Agent_479146,Electronics,38.94
Agent_1544756,Fashion,20.05
Agent_1751563,Auto & Accessories,71.90
Agent_424427,Auto & Accessories,28.89
Agent_2006929,Fashion,24.71
Agent_1989594,Fashion,74.31
Agent_169847,Auto & Accessories,12.66
Agent_1713075,Fashion,98.24
Agent_2171126,Fashion,7.89
Agent_1707850,Electronics,86.04
Agent_401437,Fashion,80.14
Agent_100651,Fashion,17.92
Agent_861,Fashion,37.99
